name,releasedate,language,price,authors,contributors,narrators,audible_length_m,audible_rating,ratings_count
Raising Hell,2020-02-18,english,820.0,Jon Wiederhorn,GaryHolt-foreword,Michael Butler Murray,976,0.0,0
"Crazy Man, Crazy",2020-01-13,english,668.0,"Bill Haley Jr., Peter Benjaminson",,Paul Woodson,470,0.0,0
Get Tusked,2020-01-09,english,668.0,"Hernan Rojas, Ken Caillat",,Sheree Wichard,769,0.0,0
Sympathy for the Drummer,2020-01-07,english,481.0,Mike Edison,,Mike Edison,294,0.0,0
Geheimnis Mensch - Die Stimme,2019-12-20,german,636.0,Gabriela Ackermann,,Gabriela Ackermann,403,0.0,0
Music & the Brain,2020-04-21,english,585.0,Scientific American,,Suzie Althens,166,0.0,0
Creation Stories,2019-12-13,english,569.0,Alan Mc Gee,,Phil Mc Kee,444,0.0,0
Der Allround DJ - Das Hörbuch,2020-01-20,german,434.0,Marko Holtwick,,Marko Holtwick,134,0.0,0
Indulge Your Senses,2019-12-03,english,668.0,"Michael Dorf, Paul Keegan",,Michael Dorf,325,0.0,0
Why Karen Carpenter Matters,2019-11-26,english,501.0,Karen Tongson,,Karen Tongson,198,0.0,0
Obama Music,2019-11-28,english,569.0,Bonnie Greer,,Bonnie Greer,443,0.0,0
The Second Summer of Love,2019-11-21,english,569.0,Alon Shulman,,Alon Shulman,445,0.0,0
A Pure Solar World,2019-11-12,english,836.0,Paul Youngquist,,Flynn Earl Jones,649,0.0,0
Geheimnisse des Singens,2019-11-03,german,233.0,Sabinevon Herzen Ditzler,,Sabinevon Herzen Ditzler,57,0.0,0
Klangvolle Weihnachten zum Träumen,2019-11-14,german,300.0,"Franziska Diesmann, Torsten Abrolat",,Franziska Diesmann,79,0.0,0
Українські Менестрелі [Ukrainian Minstrels],2019-10-22,ukrainian,117.0,"Nazar Bozhinskyi, Serhii Prokopenko",,Vladyslav Pysarev,52,0.0,0
Thees Uhlmann über Die Toten Hosen,2019-11-29,german,334.0,Thees Uhlmann,,Thees Uhlmann,174,0.0,0
The King and I,2019-10-15,english,1172.0,"Anne Midgette, Herbert Breslin",,Chris Lutkin,656,0.0,0
No Encore!,2019-10-22,english,586.0,Drew Fortune,,Peter Berkrot,451,0.0,0
What Great Singers Do and You (Probably) Don't,2019-10-03,english,163.0,Stan Munslow,,Stan Munslow,18,0.0,0
Time Is Tight,2019-10-29,english,500.0,Booker T. Jones,,Booker T. Jones,672,0.0,0
Go All the Way,2019-10-08,english,703.0,"Paul Myers, S. W. Lauden",MichaelChabon-contributor,Keith Sellon- Wright,428,0.0,0
Blood,2019-10-29,english,500.0,Allison Moorer,,"Allison Moorer, Shelby Lynne",409,0.0,0
The Psychic Soviet,2019-12-10,english,820.0,Ian F. Svenonius,,Ian F. Svenonius,367,0.0,0
On Time,2019-10-08,english,500.0,"Morris Day, David Ritz",,Ron Butler,372,0.0,0
So Real It Hurts,2019-09-10,english,501.0,Lydia Lunch,,Lydia Lunch,219,0.0,0
Do Sing,2019-09-12,english,615.0,James Sills,,James Sills,137,0.0,0
Summertime,2019-09-03,english,820.0,Richard Crawford,,David Colacci,1145,0.0,0
Johnny Cash,2019-08-20,english,837.0,"Greg Laurie, Marshall Terrill",,George Newbern,561,0.0,0
"Shout, Sister, Shout!",2019-08-27,english,1759.0,Gayle Wald,,"Leslie Uggams, Shawn T. Andrew, Anthony Heilbut",661,0.0,0
The Hot Shot Heard ’Round the World,2019-07-24,english,820.0,Andy Kahn,,"Andy Kahn, Bruce Klauber",684,0.0,0
Revenge of the She-Punks,2019-07-09,english,668.0,Vivien Goldman,,Vivien Goldman,569,0.0,0
ザ・ローリング・ストーンズ/ 運命の出会い,2015-12-10,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,17,0.0,0
musicbook:マハラジャ伝説 Part 2,2015-07-13,japanese,139.0,"松本みつぐ, feat.成田勝",,"松本みつぐ,feat.成田勝",21,0.0,0
ジョン、ポール、ジョージ & リンゴ ザ・ビートルズ4人の素顔,2015-12-10,japanese,139.0,星加ルミ子,,星加ルミ子,22,0.0,0
ザ・ビートルズの悪夢,2015-07-13,japanese,139.0,星加ルミ子,,星加ルミ子,18,0.0,0
musicbook:プロデューサー革命 トッド・ラングレン その1,2015-07-14,japanese,139.0,サエキけんぞう,,サエキけんぞう,20,0.0,0
musicbook:キング・オブ・ブルース B.B.キング,2015-07-13,japanese,139.0,菊田俊介,,菊田俊介,18,0.0,0
musicbook:ロック革命!ミカ・バンド&ロキシー,2015-07-13,japanese,139.0,サエキけんぞう,,サエキけんぞう,21,0.0,0
musicbook:DJ YUTAKA Part 1,2015-11-26,japanese,139.0,"松本みつぐ, feat. D J Y U T A K A",,"松本みつぐ,feat. D J Y U T A K A",23,0.0,0
我が心のスーパースターたち 第6回 マイケル・ジャクソン Vol.1,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,20,0.0,0
フランク・シナトラを巡る女性たち,2015-07-02,japanese,139.0,岩浪洋三,,岩浪洋三,17,0.0,0
musicbook:ボブ・ディランにあったらよろしくと/1978年 武道館 Part 2,2015-12-22,japanese,139.0,菅野ヘッケル,,菅野ヘッケル,17,0.0,0
musicbook:フルーティスト白尾彰~フルート人生の歩み~,2015-07-14,japanese,139.0,"宮沢昭男, feat.白尾彰",,"宮沢昭男,feat.白尾彰",22,0.0,0
ジャズメン 愛の物語,2015-12-09,japanese,139.0,岩浪洋三,,岩浪洋三,16,0.0,0
musicbook:六本木キサナドゥ伝説 Part 2,2015-11-26,japanese,139.0,"松本みつぐ, feat. T A K A O大箭, D J Y U T A K A",,"松本みつぐ,feat. T A K A O大箭, D J Y U T A K A",27,0.0,0
musicbook:ザ・ローリング・ストーンズ 1964年 6月ファーストUSツアー,2015-07-14,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,19,0.0,0
musicbook:ザ・ローリング・ストーンズ 1964年 Vol.1,2015-07-13,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,20,0.0,0
musicbook:デヴィッド・ボウイ カリスマ革命,2015-07-14,japanese,139.0,サエキけんぞう,,サエキけんぞう,20,0.0,0
musicbook:ジュリアナ東京伝説 Part 1,2015-07-14,japanese,139.0,"松本みつぐ, feat.内藤公嗣",,"松本みつぐ,feat.内藤公嗣",21,0.0,0
musicbook:ヒストリー・オブ・ディスコ 1980~83年,2015-07-13,japanese,139.0,松本みつぐ,,松本みつぐ,18,0.0,0
musicbook:我が心のスーパースターたち 第10回 マイケル・ジャクソン Vol.5,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,20,0.0,0
musicbook:六本木スクエア・ビル伝説 Part 2,2015-07-14,japanese,139.0,"松本みつぐ, feat. T A K A O大箭, 呉京律",,"松本みつぐ,feat. T A K A O大箭,呉京律",27,0.0,0
来日ジャズメン秘話,2015-11-20,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
ジャズ楽屋噺,2015-06-17,japanese,1200.0,小川隆夫,,内田大吾,448,0.0,0
musicbook:ダンス魂 Part 1,2015-07-13,japanese,139.0,松本みつぐ,,"松本みつぐ, S A M",23,0.0,0
musicbook:“ビリー・ホリデイ物語”の嘘と真実,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
ハワイアン・ミュージックと日本,2015-07-13,japanese,139.0,鈴木修一,,鈴木修一,19,0.0,0
musicbook:ザ・ローリング・ストーンズ 1964年 チャーリー・ワッツ結婚,2015-07-14,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,19,0.0,0
musicbook:我が心のスーパースターたち 第9回 マイケル・ジャクソン Vol.4,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,20,0.0,0
ザ・ローリング・ストーンズ/スタート・ミー・アッフ,2015-11-20,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,15,0.0,0
B.B.キングとの出会い,2015-07-13,japanese,139.0,菊田俊介,,菊田俊介,20,0.0,0
musicbook:ボブ・ディランにあったらよろしくと/1978年 武道館 Part 1,2015-12-22,japanese,139.0,菅野ヘッケル,,菅野ヘッケル,15,0.0,0
musicbook:クイーン・オブ・ブルース ココ・テイラー,2015-07-13,japanese,139.0,菊田俊介,,菊田俊介,18,0.0,0
musicbook:我が心のスーパースターたち第12回 ジョン・レノン Vol.2,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
我が心のスーパースターたち 第7回 マイケル・ジャクソン Vol.2,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,20,0.0,0
musicbook:ロック革命 ザ・ローリング・ストーンズ その1,2015-07-14,japanese,139.0,サエキけんぞう,,サエキけんぞう,21,0.0,0
musicbook:「マジカル・ミステリー・ツアー」日本上映 前編,2015-07-14,japanese,139.0,星加ルミ子,,星加ルミ子,20,0.0,0
artistbook:音楽シーンが変わった時「東京」,2015-07-14,japanese,139.0,森田貢,,森田貢,18,0.0,0
海野十三 「十八時の音楽浴」,2015-07-13,japanese,558.0,海野十三,,"蘇武ケンジ,中山依里子",124,0.0,0
musicbook:DJ YUTAKA Part 3,2016-03-28,japanese,139.0,"松本みつぐ, feat. D J Y U T A K A",,"松本みつぐ,feat. D J Y U T A K A",22,0.0,0
musicbook:ジャズ映画の歴史,2015-07-14,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
我が心のスーパースターたち第5回 エルヴィス・プレスリーその3,2015-12-09,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
「On The ROAD」に至る道 音・職人 行方洋一の軌跡,2019-06-11,japanese,195.0,"高木利弘, 行方洋一",,"高木利弘,行方洋一",56,0.0,0
musicbook:DJ MASTERKEY Part 1,2015-07-14,japanese,139.0,"松本みつぐ, feat. D J M A S T E R K E Y",,"松本みつぐ,feat. D J M A S T E R K E Y",25,0.0,0
ヒストリー・オブ・ディスコ 1973~75年,2015-07-13,japanese,139.0,松本みつぐ,,松本みつぐ,20,0.0,0
ザ・ビートルズ来日までの大騒ぎ,2015-11-20,japanese,139.0,星加ルミ子,,星加ルミ子,19,0.0,0
musicbook:福娘:シンディ・ローパー、福男:ダリル・ホール,2015-07-13,japanese,139.0,上柴とおる,,上柴とおる,19,0.0,0
musicbook:六本木キサナドゥ伝説 Part 1,2015-11-26,japanese,139.0,"松本みつぐ, feat. T A K A O大箭, D J Y U T A K A",,"松本みつぐ,feat. T A K A O大箭, D J Y U T A K A",22,0.0,0
musicbook:ダンス魂 Part 3,2015-07-13,japanese,139.0,松本みつぐ,,"松本みつぐ, S A M",23,0.0,0
ザ・ローリング・ストーンズとの出会い,2015-11-20,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,18,0.0,0
ザ・ビートルズ 伝説のUSツアー’66,2015-07-13,japanese,139.0,星加ルミ子,,星加ルミ子,18,0.0,0
musicbook:ヒストリー・オブ・ディスコ 1979年,2015-07-13,japanese,139.0,松本みつぐ,,松本みつぐ,20,0.0,0
musicbook:ディランこそニュー・ウェーヴ!,2015-12-22,japanese,139.0,サエキけんぞう,,サエキけんぞう,20,0.0,0
musicbook:ザ・ローリング・ストーンズ 1964年 エド・サリヴァン・ショー初出演,2015-07-14,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,17,0.0,0
musicbook:ジュリアナ東京伝説 Part 2,2015-07-14,japanese,139.0,"松本みつぐ, feat.内藤公嗣",,"松本みつぐ,feat.内藤公嗣",23,0.0,0
musicbook:ヒストリー・オブ・ディスコ 1978年,2015-07-13,japanese,139.0,松本みつぐ,,松本みつぐ,20,0.0,0
初めて会ったザ・ビートルズ,2015-11-20,japanese,139.0,星加ルミ子,,星加ルミ子,18,0.0,0
musicbook:ユダヤ人の好きな楽器はこれだ!,2015-07-14,japanese,139.0,岩浪洋三,,岩浪洋三,17,0.0,0
ボブ・ディランとぼく,2017-02-15,japanese,139.0,ロバート・ハリス,,清水裕亮,12,0.0,0
musicbook:ザ・ビートルズとのクリスマス・パーティー,2015-07-14,japanese,139.0,星加ルミ子,,星加ルミ子,22,0.0,0
musicbook:マハラジャ伝説 Part 3,2015-07-13,japanese,139.0,"松本みつぐ, feat.成田勝",,"松本みつぐ,feat.成田勝",23,0.0,0
musicbook:ザ・ビートルズとアップル,2015-07-14,japanese,139.0,星加ルミ子,,星加ルミ子,21,0.0,0
Musicbook:5人目のビートルズ、ブライアン・エプスタイン,2015-07-13,japanese,139.0,星加ルミ子,,星加ルミ子,21,0.0,0
musicbook:ボブ・ディランにあったらよろしくと/1974年全米ツアー,2015-07-13,japanese,139.0,菅野ヘッケル,,菅野ヘッケル,17,0.0,0
オーディブック版 立花裕人のK-POPインタビュー~HANI篇,2015-06-17,japanese,391.0,立花裕人,,"立花裕人, H A N I",72,0.0,0
musicbook:六本木スクエア・ビル伝説 Part 3,2015-07-14,japanese,139.0,"松本みつぐ, feat. T A K A O大箭, 呉京律",,"松本みつぐ,feat. T A K A O大箭,呉京律",25,0.0,0
musicbook:ジョンとヨーコの思い出,2015-07-14,japanese,139.0,星加ルミ子,,星加ルミ子,31,0.0,0
artistbook:J-POPのルーツ,2015-07-14,japanese,139.0,森田貢,,森田貢,14,0.0,0
artistbook:フォーク誕生,2015-07-14,japanese,139.0,森田貢,,森田貢,18,0.0,0
ピアノ・トリオはそんなに面白いか,2015-11-20,japanese,139.0,岩浪洋三,,岩浪洋三,16,0.0,0
musicbook:アメリカン・ポップスとアイリッシュ・ミュージック,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,17,0.0,0
musicbook:大相撲とザ・ビートルズのおかげです,2015-07-13,japanese,139.0,上柴とおる,,上柴とおる,20,0.0,0
立花裕人のK-POPインタビュー~JULY篇,2015-06-17,japanese,391.0,立花裕人,,"立花裕人, J U L Y",64,0.0,0
musicbook:ジャズの変人奇人 チャーリー・パーカーの生き方,2015-07-14,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
ザ・ビートルズを求めてロンドンへ,2015-12-10,japanese,139.0,星加ルミ子,,星加ルミ子,20,0.0,0
ルーツ・オブ・ハワイアン・ミュージック,2015-07-13,japanese,139.0,鈴木修一,,鈴木修一,18,0.0,0
musicbook:ザ・ビートルズのレコーディング風景,2015-07-13,japanese,139.0,星加ルミ子,,星加ルミ子,21,0.0,0
musicbook:新説 グラム・ロック革命,2015-07-14,japanese,139.0,サエキけんぞう,,サエキけんぞう,20,0.0,0
再会!ザ・ビートルズ,2015-12-10,japanese,139.0,星加ルミ子,,星加ルミ子,18,0.0,0
musicbook:「マジカル・ミステリー・ツアー」日本上映 後編,2015-07-14,japanese,139.0,星加ルミ子,,星加ルミ子,21,0.0,0
はじめての人のためのハープ入門 〜準備編〜,2019-06-13,japanese,195.0,松本花奈,,松本花奈,25,0.0,0
musicbook:我が心のスーパースターたち第11回 ジョン・レノン Vol.1,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
我が心のスーパースターたち 第2回 エルヴィス・プレスリーその1,2015-12-10,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
ザ・ローリング・ストーンズ/キース・リチャーズ ミュージック・ルーツ,2015-11-20,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,16,0.0,0
ザ・ビートルズ 最後のUSツアー,2015-07-13,japanese,139.0,星加ルミ子,,星加ルミ子,19,0.0,0
マイ・ミュージック・ルーツ,2015-07-13,japanese,139.0,鈴木道子,,鈴木道子,19,0.0,0
musicbook:六本木スクエア・ビル伝説 Part 1,2015-07-14,japanese,139.0,"松本みつぐ, feat. T A K A O大箭, 呉京律",,"松本みつぐ,feat. T A K A O大箭,呉京律",23,0.0,0
オーディブック版 立花裕人のK-POPインタビュー~JUST篇,2015-06-17,japanese,391.0,立花裕人,,"立花裕人, J U S T",63,0.0,0
musicbook:ビートニクとジャズ,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
Musicbook:ザ・ローリング・ストーンズ 1963年,2015-07-13,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,21,0.0,0
musicbook:セックス・ピストルズの意外な背景,2015-07-13,japanese,139.0,サエキけんぞう,,サエキけんぞう,22,0.0,0
我が心のスーパースターたち 第1回 マイ・ミュージック・ルーツ,2015-11-20,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
musicbook:ママス&パパス その実態は・・・,2015-07-13,japanese,139.0,上柴とおる,,上柴とおる,19,0.0,0
musicbook:フルーティスト白尾彰~フルートとオーケストラ~,2015-07-14,japanese,139.0,"宮沢昭男, feat.白尾彰",,"宮沢昭男,feat.白尾彰",26,0.0,0
musicbook:ザ・ローリング・ストーンズ 1964年 Vol.2,2015-07-14,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,18,0.0,0
musicbook:我が心のスーパースターたち第13回 ジョン・レノン Vol.3,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
ハーレムを知らずしてジャズを語るなかれ,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,17,0.0,0
ザ・ビートルズ 来日こぼれ話,2015-12-09,japanese,139.0,星加ルミ子,,星加ルミ子,18,0.0,0
musicbook:フルーティスト白尾彰~楽器を語る~,2015-07-14,japanese,139.0,"宮沢昭男, feat.白尾彰",,"宮沢昭男,feat.白尾彰",24,0.0,0
シカゴ・ブルースの巨人たち,2015-07-13,japanese,139.0,菊田俊介,,菊田俊介,19,0.0,0
我が心のスーパースターたち 第3回 エルヴィス・プレスリーその2,2015-11-20,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
musicbook:ザ・ビートルズ ファイナルUSツアー・イン・ニューヨーク,2015-07-13,japanese,139.0,星加ルミ子,,星加ルミ子,24,0.0,0
エンターテインメントのルーツ/ローリング20’s,2015-07-13,japanese,139.0,鈴木道子,,鈴木道子,22,0.0,0
立花裕人のK-POPインタビュー~Jihoo篇,2015-06-17,japanese,391.0,立花裕人,,"立花裕人, Jihoo",69,0.0,0
ユダヤ人とジャズ,2015-11-20,japanese,139.0,岩浪洋三,,岩浪洋三,16,0.0,0
musicbook:DJ MASTERKEY Part 2,2015-07-14,japanese,139.0,"松本みつぐ, feat. D J M A S T E R K E Y",,"松本みつぐ,feat. D J M A S T E R K E Y",28,0.0,0
musicbook:ヒストリー・オブ・ディスコ 1976~77年,2015-07-13,japanese,139.0,松本みつぐ,,松本みつぐ,21,0.0,0
musicbook:マハラジャ伝説 Part 1,2015-07-13,japanese,139.0,"松本みつぐ, feat.成田勝",,"松本みつぐ,feat.成田勝",23,0.0,0
デューク・エリントンの音楽にはジャズの全てがある,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,19,0.0,0
musicbook:ザ・ローリング・ストーンズ 1964年 Vol.3,2015-07-14,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,19,0.0,0
musicbook:ダンス魂 Part 2,2015-07-13,japanese,139.0,松本みつぐ,,"松本みつぐ, S A M",23,0.0,0
musicbook:プロデューサー革命 トッド・ラングレン その2,2015-07-14,japanese,139.0,サエキけんぞう,,サエキけんぞう,19,0.0,0
musicbook:ジュリアナ東京伝説 Part 3,2015-07-14,japanese,139.0,"松本みつぐ, feat.内藤公嗣",,"松本みつぐ,feat.内藤公嗣",26,0.0,0
村上春樹とジャズ,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,19,0.0,0
musicbook:DJ YUTAKA Part 2,2015-11-26,japanese,139.0,"松本みつぐ, feat. D J Y U T A K A",,"松本みつぐ,feat. D J Y U T A K A",24,0.0,0
musicbook:我が心のスーパースターたち 第15回 フリオ・イグレシアス,2015-07-14,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
我が心のスーパースターたち 第8回 マイケル・ジャクソン Vol.3,2015-07-13,japanese,139.0,湯川れい子,,湯川れい子,20,0.0,0
シカゴ・ブルースへの道,2015-07-13,japanese,139.0,菊田俊介,,菊田俊介,19,0.0,0
Sophisticated Giant,2019-06-18,english,836.0,Maxine Gordon,,"Joe Morton, Terria Joseph, Prentice Onayemi",652,0.0,0
musicbook:テクノの革命児DEVO,2015-07-13,japanese,139.0,サエキけんぞう,,サエキけんぞう,20,0.0,0
musicbook:もうひとつのジャズ史 アフロ・キューバン・ジャズの魅力,2016-03-28,japanese,139.0,岩浪洋三,,岩浪洋三,17,0.0,0
musicbook:池波正太郎とジャズの世界,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
musicbook:我が心のスーパースターたち 第14回 ザ・カーペンターズ,2015-07-14,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
musicbook:スラングで聴くジャズの世界,2015-07-13,japanese,139.0,岩浪洋三,,岩浪洋三,19,0.0,0
国産ディスコ音楽70’s,2015-07-13,japanese,139.0,松本みつぐ,,松本みつぐ,20,0.0,0
ザ・ローリング・ストーンズ 60‘sイン・ジャパン,2015-11-20,japanese,139.0,Mike M. Koshitani(越谷政義),,Mike M. Koshitani,21,0.0,0
我が心のスーパースターたち第4回 ロックンロールの誕生,2015-11-20,japanese,139.0,湯川れい子,,湯川れい子,19,0.0,0
マイルス・デイヴィス総括,2015-12-17,japanese,139.0,岩浪洋三,,岩浪洋三,18,0.0,0
口琴の響き,2015-06-17,japanese,139.0,関根秀樹,,関根秀樹,23,0.0,0
立花裕人のK-POPインタビュー - ZERO篇,2015-06-17,japanese,335.0,立花裕人,,"立花裕人, Z E R O",55,0.0,0
musicbook:ロック革命 ザ・ローリング・ストーンズ その2,2015-07-14,japanese,139.0,サエキけんぞう,,サエキけんぞう,21,0.0,0
Le temps des seigneurs [The Time of the Lords],2019-07-09,french,861.0,Dan Bigras,,Dan Bigras,645,0.0,0
Soulless,2019-06-04,english,1171.0,Jim De Rogatis,,Jim De Rogatis,801,0.0,0
Dangerous Melodies,2019-12-10,english,937.0,Jonathan Rosenberg,,Chris Henry Coffey,955,0.0,0
musicbook:ボブ・ディランにあったらよろしくと/1963年 風に吹かれて,2015-07-13,japanese,139.0,菅野ヘッケル,,菅野ヘッケル,14,0.0,0
Scientists of Sound I,2019-12-17,english,608.0,Jake Brown,,"Jake Brown,fullcast",282,0.0,0
Doug MacLeod. The authorized compact biography,2019-06-07,english,334.0,"Doug Mac Leod, Vincent Abbate",,Vincent Abbate,175,0.0,0
Nothing's Bad Luck,2019-05-07,english,500.0,C. M. Kushins,,Fleet Cooper,960,0.0,0
Crossroads,2019-09-05,english,683.0,Mark Radcliffe,,Mark Radcliffe,421,0.0,0
The Art of Is,2019-04-09,english,608.0,Stephen Nachmanovitch,,Robertson Dean,423,5.0,1
"Crosby, Stills, Nash and Young",2019-04-02,english,500.0,David Browne,,Kevin T. Collins,1303,0.0,0
"La misère des niches: musique et numérique, alerte sur les enjeux d'une mutation",2019-03-20,french,675.0,Alain Brunet,,Alain Brunet,417,0.0,0
Ruffhouse,2019-06-18,english,837.0,Chris Schwartz,"Ms.LaurynHill-foreword, Ahmir""Questlove""Thompson-introduction","Pete Simonelli, J D Jackson, Adenrele Ojo",363,0.0,0
The Wild Heart of Stevie Nicks,2019-05-02,english,266.0,Rob Sheffield,,Rob Sheffield,163,0.0,0
Johnny B. Bad,2019-03-19,english,586.0,Stephanie Bennett,"KeithRichards-contributor, HelenMirren-contributor",Bill Andrew Quinn,375,0.0,0
Oscar,2019-03-12,english,689.0,Mauricio Segura,,Nick Gallager,339,0.0,0
A Fabulous Creation,2019-03-21,english,820.0,David Hepworth,,David Hepworth,771,0.0,0
For the Sake of Heaviness,2019-03-05,english,351.0,"Brian Slagel, Mark Eglinton",LarsUlrich-foreword,"Brian Slagel, John Bush",276,0.0,0
Il cervello musicale,2019-04-15,italian,267.0,Daniele Schön,,Alberto Ricci Hoiss,311,0.0,0
Merseybeast,2019-02-07,english,759.0,Ian Mc Nabb,,Ian Mc Nabb,566,0.0,0
Florence Foster Jenkins,2016-06-23,english,323.0,"Nicholas Martin, Jasper Rees",,Katherine Kellgren,514,0.0,0
More Fun in the New World,2019-06-04,english,1131.0,"John Doe, Tom Desavia",,"John Doe, Tom Desavia, Various",755,0.0,0
Schuberts Winterreise,2019-01-21,german,1105.0,Ian Bostridge,,Matthias Neukirch,697,0.0,0
Aus dem Dachsbau,2019-02-14,german,535.0,Dirkvon Lowtzow,,Dirkvon Lowtzow,211,0.0,0
Dreadnaught,2019-03-19,english,837.0,D. H. Peligro,WilliamKnoedelseder-introduction,Brad Sanders,578,0.0,0
Ara és el moment [Now Is the Time] (Audiolibro en catalán),2019-01-02,catalan,537.0,Martí Sales,,Joan Mora,285,0.0,0
Storms,2019-01-22,english,938.0,Carol Ann Harris,,Carly Robins,919,0.0,0
On the Road and off the Record with Leonard Bernstein,2019-01-29,english,703.0,Charlie Harmon,HaroldPrince-foreword,William Dufris,654,0.0,0
Let's Go (So We Can Get Back),2019-01-31,english,949.0,Jeff Tweedy,,Jeff Tweedy,492,0.0,0
On Michael Jackson,2019-03-01,english,930.0,Margo Jefferson,,Andrea Johnson,228,0.0,0
The World's Greatest Vocal Warm-Ups,2018-12-14,english,187.0,Stan Munslow,,Stan Munslow,28,5.0,1
No Beethoven,2018-12-12,english,469.0,Peter Erskine,,Peter Erskine,736,0.0,0
Help!,2018-12-12,english,703.0,Thomas Brothers,,Keith Sellon- Wright,697,0.0,0
Jingle Bell Pop,2018-12-06,english,199.0,John Seabrook,,Erin Moon,74,0.0,0
Cornell '77,2018-11-27,english,586.0,Peter Conners,,Johnny Heller,302,0.0,0
Die Frau ohne Schatten,2018-11-13,german,401.0,Hugovon Hofmannsthal,,Hans Jochim Schmidt,270,0.0,0
Best Seat in the House,2018-11-06,english,668.0,"Tom Stephen, Keith Elliot Greenberg",,Andrew Shaw,479,0.0,0
De la madelon aux tourneuses d'obus,2018-01-08,french,301.0,Jean François Maxou Heintzen,,Jean François Maxou Heintzen,104,0.0,0
Mélodrames romantiques,2017-03-10,french,453.0,diversauteurs,,Daniel Mesguich,60,0.0,0
Privateinrichtung. Die Oper als Hörbuch,2009-11-17,german,334.0,Gabi Heller,,Miriam Morgenstern,49,0.0,0
"Wolfgang Amadeus Mozart - Le nozze di Figaro, Don Giovanni, Così fan tutte",2017-10-17,german,200.0,Benedikt Stegemann,,Peter Lerchbaumer,35,0.0,0
L'éveil de la voix,2011-07-25,french,499.0,Suzy Tremblay,,Suzy Tremblay,44,0.0,0
Smash!,2018-11-20,english,500.0,Ian Winwood,,Kevin T. Collins,703,0.0,0
The Mastersinger from Minsk,2013-10-10,english,836.0,Morley Torgov,,Jason Culp,612,0.0,0
Modern Dance,2012-03-12,english,536.0,Janet Anderson,,Beth Richmond,179,0.0,0
A Homecoming Christmas,2011-11-04,english,502.0,"Bill Gaither, Gloria Gaither",,"Pam Ward, Tim Lundeen",278,0.0,0
E Street Shuffle,2013-05-09,english,721.0,Clinton Heylin,,Dan John Miller,761,0.0,0
Scales to Scalpels,2013-09-24,english,668.0,Lisa Wong M. D.,,"Joe Barrett, Suzanne Toren",489,4.0,1
Linthead Stomp,2014-02-14,english,668.0,Patrick Huber,,Dick Terhune,578,0.0,0
The Saddest Music Ever Written,2013-10-29,english,668.0,Thomas Larson,,Gregory St. John,466,0.0,0
Anything for a Hit,2018-10-30,english,668.0,Dorothy Carvello,,Traci Odom,476,0.0,0
The Candy Men,2013-02-07,english,836.0,Nile Southern,,Richard Topol,651,0.0,0
Krumping,2009-09-17,english,33.0,i Minds,,Luca James Lee,7,0.0,0
"Thy Sea is Great, Our Boats are Small",2015-02-16,english,239.0,Henry Van Dyke,,Glenn Hascall,11,0.0,0
Barking Man,2013-07-24,english,668.0,Madison Smartt Bell,,Barbara Dellenback,411,0.0,0
La sonnambula,2012-10-26,english,211.0,Thomson Smillie,,David Timson,76,0.0,0
